,Date,High,Low,Open,Close,Volume,Adj Close
0,1980-03-17,0.927140987,0.908553994,0,0.917847013,1158040.1,0.520854539
1,1980-03-18,0.930238998,0.914749002,0,0.927140987,1622063.1,0.525637066
2,1980-03-19,0.942630982,0.927140987,0,0.942630982,1367859.1,0.533607846
3,1980-03-20,0.961217976,0.939532971,0,0.939532971,3046412.1,0.53201381
4,1980-03-21,0.948825991,0.93643502,0,0.93643502,1020851.1,0.530419773
5,1980-03-24,0.942630982,0.930238998,0,0.930238998,778752.1,0.527231342
6,1980-03-25,0.942630982,0.927140987,0,0.930238998,944186.1,0.527231342
7,1980-03-26,0.942630982,0.927140987,0,0.942630982,2332220.1,0.533607846
8,1980-03-27,0.930238998,0.911652005,0,0.911652005,770682.1,0.517666674
9,1980-03-28,0.942630982,0.930238998,0,0.93643502,459988.1,0.530419773
10,1980-03-31,0.951924002,0.93643502,0,0.945728993,250169.1,0.535202122
11,1980-04-01,0.961217976,0.945728993,0,0.958120024,201749.1,0.541578567
12,1980-04-02,1.004588997,0.958120024,0,0.998392975,758577.1,0.562302327
13,1980-04-03,1.026274002,1.001490986,0,1.016980028,1480839.1,0.571866965
14,1980-04-07,1.016980028,1.001490986,0,1.001490986,464023.1,0.563896602
15,1980-04-08,0.995295024,0.986000991,0,0.986000991,1355754.1,0.555925554
16,1980-04-09,0.986000991,0.986000991,0,0.986000991,347009.1,0.555925554
17,1980-04-10,1.004588997,0.992197013,0,0.995295024,314729.1,0.56070832
18,1980-04-11,1.016980028,1.001490986,0,1.004588997,710157.1,0.565490878
19,1980-04-14,0.998392975,0.992197013,0,0.992197013,205784.1,0.559114134
20,1980-04-15,1.004588997,0.995295024,0,0.998392975,197714.1,0.562302327
21,1980-04-16,1.016980028,1.004588997,0,1.004588997,2134506.1,0.565490878
22,1980-04-17,0.998392975,0.992197013,0,0.998392975,1371894.1,0.562302327
23,1980-04-18,1.007687008,0.998392975,0,0.998392975,391393.1,0.562302327
24,1980-04-21,1.004588997,0.998392975,0,0.998392975,379288.1,0.562302327
25,1980-04-22,1.029372013,1.004588997,0,1.004588997,1125760.1,0.565490878
26,1980-04-23,1.02007798,1.004588997,0,1.010785019,625422.1,0.568679398
27,1980-04-24,1.016980028,1.007687008,0,1.016980028,246134.1,0.571866965
28,1980-04-25,1.02007798,1.013882017,0,1.013882017,121049.1,0.570272779
29,1980-04-28,1.026274002,1.013882017,0,1.026274002,347009.1,0.576649791
30,1980-04-29,1.026274002,1.023175991,0,1.023175991,1166110.1,0.575055486
31,1980-04-30,1.026274002,1.02007798,0,1.02007798,431743.1,0.573461419
32,1980-05-01,1.047959006,1.032470024,0,1.044862008,500338.1,0.586215174
33,1980-05-02,1.051057017,1.035567975,0,1.035567975,217889.1,0.581432289
34,1980-05-05,1.047959006,1.035567975,0,1.047959006,455953.1,0.587808526
35,1980-05-06,1.054155028,1.041763997,0,1.047959006,375253.1,0.587808526
36,1980-05-07,1.054155028,1.038665986,0,1.041763997,407533.1,0.584620959
